year,month,SPEI9
2019,10,-1.244763
2019,11,-1.337797349
2019,12,-1.309734774
2020,1,-1.216024545
2020,2,-0.882537333
2020,3,-0.140265356
2020,4,-0.82943295
2020,5,-1.124207561
2020,6,-1.777393519
2020,7,-2.084578879
2020,8,-2.127081549
2020,9,-2.281433225
2020,10,-2.332271137
2020,11,-2.384781837
2020,12,-2.353588876
